User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Author-Normalized,Publisher-Normalized,Location,Age,Age_Group,Country,Publication_Decade,Book_Rating_Count,Average_Book_Rating,User_Rating_Count,Weighted_Rating,Popularity_Score,Image-URL-S,Image-URL-M,Image-URL-L
277157,0316154059,5,City of Bones,Michael Connelly,2002.0,Warner Books,michael connelly,warner books,"garden grove, california, usa",70.0,Senior,usa,2000.0,34,7.823529411764706,31,7.7063693866102145,34,http://images.amazon.com/images/P/0316154059.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316154059.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316154059.01.LZZZZZZZ.jpg
277157,0345452550,7,A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,2003.0,Ballantine Books,jonathan kellerman,ballantine books,"garden grove, california, usa",70.0,Senior,usa,2000.0,27,7.518518518518518,31,7.588766603574779,27,http://images.amazon.com/images/P/0345452550.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345452550.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345452550.01.LZZZZZZZ.jpg
277157,0399148639,6,Mortal Prey,John Sandford,2002.0,Putnam Publishing Group,john sandford,putnam publishing group,"garden grove, california, usa",70.0,Senior,usa,2000.0,32,7.6875,31,7.650427176527537,32,http://images.amazon.com/images/P/0399148639.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399148639.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399148639.01.LZZZZZZZ.jpg
277157,0671024094,7,The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,1999.0,Pocket Books,jeffery deaver,pocket books,"garden grove, california, usa",70.0,Senior,usa,1990.0,30,7.833333333333333,31,7.7041878559407255,30,http://images.amazon.com/images/P/0671024094.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671024094.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671024094.01.LZZZZZZZ.jpg
277157,0679450408,6,Silent Witness,Richard North Patterson,1997.0,Random House Inc,richard north patterson,random house inc,"garden grove, california, usa",70.0,Senior,usa,1990.0,20,7.5,31,7.590500406789401,20,http://images.amazon.com/images/P/0679450408.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679450408.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679450408.01.LZZZZZZZ.jpg
277157,0743486226,7,Angels &amp; Demons,Dan Brown,2003.0,Atria,dan brown,atria,"garden grove, california, usa",70.0,Senior,usa,2000.0,33,7.606060606060606,31,7.618494318979013,33,http://images.amazon.com/images/P/0743486226.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743486226.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743486226.01.LZZZZZZZ.jpg
277203,039480001X,9,The Cat in the Hat,Dr. Seuss,1957.0,Random House Books for Young Readers,dr. seuss,random house books for young readers,"olympia, washington, usa",8.0,Youth,usa,1950.0,32,9.3125,49,8.284573517990951,32,http://images.amazon.com/images/P/039480001X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039480001X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039480001X.01.LZZZZZZZ.jpg
277427,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994.0,John Wiley &amp; Sons Inc,james finn garner,john wiley &amp; sons inc,"gilbert, arizona, usa",48.0,Adult,usa,1990.0,77,7.805194805194805,146,7.734921484057151,77,http://images.amazon.com/images/P/002542730X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/002542730X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/002542730X.01.LZZZZZZZ.jpg
277427,0061009059,9,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995.0,HarperTorch,janet evanovich,harpertorch,"gilbert, arizona, usa",48.0,Adult,usa,1990.0,134,7.940298507462686,146,7.855081676495967,134,http://images.amazon.com/images/P/0061009059.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061009059.01.LZZZZZZZ.jpg
277427,0316776963,8,Me Talk Pretty One Day,David Sedaris,2001.0,Back Bay Books,david sedaris,back bay books,"gilbert, arizona, usa",48.0,Adult,usa,2000.0,159,7.8930817610062896,146,7.8293542032309,159,http://images.amazon.com/images/P/0316776963.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316776963.01.LZZZZZZZ.jpg
